---- AnyBody Output File ---------------------------------
Study: Main.MyStudy
Operation: Main.MyStudy.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.MyStudy.OutputData.UpdData = 13
Main.MyStudy.OutputData.FileName = "Output.txt"
Main.MyStudy.OutputData.NumberFormat.Digits = 15
Main.MyStudy.OutputData.NumberFormat.UpdFormat = 1
Main.MyStudy.OutputData.NumberFormat.Width = 23
Main.MyStudy.OutputData.NumberFormat.Style = ScientificNumber
Main.MyStudy.OutputData.NumberFormat.FormatStr = "%23.15e"
Main.MyStudy.OutputData.Values = 
Main.MyStudy.OutputData.Search = 
Main.MyStudy.OutputData.Format = 0
Main.MyStudy.OutputData.SepSign = " "
Main.MyStudy.OutputData.SepSpaceAutoOnOff = On
Main.MyStudy.OutputData.LineSepSign = ""
Main.MyStudy.OutputData.Header.TitleSectionOnOff = On
Main.MyStudy.OutputData.Header.ConstSectionOnOff = On
Main.MyStudy.OutputData.Header.ConstSectionSaveOptionsOnOff = On
Main.MyStudy.OutputData.Header.VarSectionOnOff = On
Main.MyStudy.OutputData.Header.ColumnNamesOnOff = On
Main.MyStudy.OutputData.Header.LinePrefix = ""
Main.MyStudy.OutputData.Header.ShortenNamesOnOff = Off
Main.MyStudy.OutputData.Header.ColumnIDString = "col"
Main.MyStudy.OutputData.ConstSectionSaveOptionsOnOff = On
Main.MyStudy.OutputData.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.MyStudy.t
col1  Main.MyStudy.OutputData.SegmentPos[0]
col2  Main.MyStudy.OutputData.SegmentPos[1]
col3  Main.MyStudy.OutputData.SegmentPos[2]
col4  Main.MyStudy.OutputData.SegmentV[0]
col5  Main.MyStudy.OutputData.SegmentV[1]
col6  Main.MyStudy.OutputData.SegmentV[2]
col7  Main.MyStudy.OutputData.MusclesActiv
col8  Main.MyStudy.OutputData.HipJointAngle
col9  Main.MyStudy.OutputData.KneeJointAngle
----------------------------------------------------------
Main.MyStudy.t Main.MyStudy.OutputData.SegmentPos[0] Main.MyStudy.OutputData.SegmentPos[1] Main.MyStudy.OutputData.SegmentPos[2] Main.MyStudy.OutputData.SegmentV[0] Main.MyStudy.OutputData.SegmentV[1] Main.MyStudy.OutputData.SegmentV[2] Main.MyStudy.OutputData.MusclesActiv Main.MyStudy.OutputData.HipJointAngle Main.MyStudy.OutputData.KneeJointAngle
0.000000000000000e+00 -5.108439901082981e-01 -8.698371467624715e-01 1.060000000000000e-01 6.482120093823683e-15 -4.475800904302184e-15 0.000000000000000e+00 3.272955192996668e-04 -5.235987755982606e-01 -5.235987720873976e-01
1.010101010101010e-02 -5.108439901082981e-01 -8.698371467624715e-01 1.060000000000000e-01 -3.431172703923727e-16 2.369170220352988e-16 0.000000000000000e+00 3.272955192989984e-04 -5.235987755982606e-01 -5.235987720873976e-01
2.020202020202020e-02 -5.108439901082981e-01 -8.698371467624715e-01 1.060000000000000e-01 1.180591738597777e-15 -8.151798323302324e-16 0.000000000000000e+00 3.272955192996148e-04 -5.235987755982606e-01 -5.235987720873976e-01
3.030303030303030e-02 -5.108079977748736e-01 -8.698620205722104e-01 1.060000000000000e-01 2.287335002548390e-02 -1.579191292940519e-02 0.000000000000000e+00 8.767228022830113e-03 -5.235674407761907e-01 -5.235674407763163e-01
4.040404040404041e-02 -5.098926602423082e-01 -8.704938820396091e-01 1.060000000000000e-01 1.772666576844431e-01 -1.220373429320143e-01 0.000000000000000e+00 1.923550685238198e-02 -5.227707217850891e-01 -5.227707220385385e-01
5.050505050505050e-02 -5.068623384421892e-01 -8.725694490908064e-01 1.060000000000000e-01 4.428268420268640e-01 -3.019940523535056e-01 0.000000000000000e+00 3.032171059737726e-02 -5.201403524105804e-01 -5.201403524106246e-01
6.060606060606061e-02 -5.004119514749870e-01 -8.769244670674907e-01 1.060000000000000e-01 8.708417461989261e-01 -5.820589540356910e-01 0.000000000000000e+00 5.030675692135552e-02 -5.145670067352202e-01 -5.145670067369014e-01
7.070707070707070e-02 -4.881861768397072e-01 -8.849419492997918e-01 1.060000000000000e-01 1.595734459312190e+00 -1.026582270991892e+00 0.000000000000000e+00 6.970584291715143e-02 -5.040994103660839e-01 -5.040994104053514e-01
8.080808080808081e-02 -4.688241013706312e-01 -8.970270755780527e-01 1.060000000000000e-01 2.156039980083517e+00 -1.305110169806857e+00 0.000000000000000e+00 2.827704502681436e-02 -4.877624872879778e-01 -4.877624876515367e-01
9.090909090909091e-02 -4.464457473825297e-01 -9.101030944818533e-01 1.060000000000000e-01 2.201205890231715e+00 -1.240783988305780e+00 0.000000000000000e+00 2.712169128512688e-03 -4.692163808032149e-01 -4.692163814886665e-01
1.010101010101010e-01 -4.252633693671022e-01 -9.216434237264118e-01 1.060000000000000e-01 1.972314067927942e+00 -1.037888026538826e+00 0.000000000000000e+00 5.920018644221270e-03 -4.519603721091256e-01 -4.519603725871723e-01
1.111111111111111e-01 -4.067348709969328e-01 -9.311009930289103e-01 1.060000000000000e-01 1.698087138713882e+00 -8.402798903959704e-01 0.000000000000000e+00 5.620026456672839e-03 -4.370816227522176e-01 -4.370816229800628e-01
1.212121212121212e-01 -3.906483539459318e-01 -9.388483890807546e-01 1.060000000000000e-01 1.512204846428078e+00 -7.084874504413025e-01 0.000000000000000e+00 1.906972103528570e-03 -4.243126046564786e-01 -4.243126047625519e-01
1.313131313131313e-01 -3.758355265327882e-01 -9.456131701992230e-01 1.060000000000000e-01 1.433023108229665e+00 -6.376380858850050e-01 0.000000000000000e+00 4.935784190101874e-05 -4.126674319790997e-01 -4.126674320460180e-01
1.414141414141414e-01 -3.615025464380207e-01 -9.518309228085609e-01 1.060000000000000e-01 1.412885108382045e+00 -5.972898473491185e-01 0.000000000000000e+00 4.078557948230648e-03 -4.014951306768738e-01 -4.014951307312649e-01
1.515151515151515e-01 -3.471490214569276e-01 -9.577422719137401e-01 1.060000000000000e-01 1.435704401752586e+00 -5.757422976879407e-01 0.000000000000000e+00 7.439963412547559e-03 -3.903945635639762e-01 -3.903945636166428e-01
1.616161616161616e-01 -3.323664998429545e-01 -9.635080156360571e-01 1.060000000000000e-01 1.497963243986789e+00 -5.679367613267937e-01 0.000000000000000e+00 1.087830058991845e-02 -3.790476009762298e-01 -3.790476010350065e-01
1.717171717171717e-01 -3.167390292072125e-01 -9.692555780154147e-01 1.060000000000000e-01 1.604522362033012e+00 -5.720361348267345e-01 0.000000000000000e+00 1.506007285514255e-02 -3.671393943689352e-01 -3.671393944437575e-01
